Year,Sector,Fuel.Type,Methane.emissions,Industry.Type
2021,Power Plants,4,0.25,"C,D"
2021,Power Plants,4,0.25,"C,D"
2020,Power Plants,1,2051,"C,D"
2020,Power Plants,4,0.25,"C,D"
2020,Power Plants,4,0.5,"C,D"
2019,Power Plants,1,2536.25,"C,D"
2019,Power Plants,4,0.25,"C,D"
2019,Power Plants,4,0.5,"C,D"
2018,Power Plants,1,2621.5,"C,D"
2018,Power Plants,4,0.25,"C,D"
2018,Power Plants,4,0.5,"C,D"
2017,Power Plants,1,3595.5,"C,D"
2017,Power Plants,4,0.25,"C,D"
2017,Power Plants,4,0.25,"C,D"
2017,Power Plants,4,2.75,"C,D"
2016,Power Plants,1,2947.75,"C,D"
2016,Power Plants,4,0.5,"C,D"
2016,Power Plants,4,16.25,"C,D"
2015,Power Plants,1,3239,"C,D"
2015,Power Plants,4,0.25,"C,D"
2015,Power Plants,4,0.25,"C,D"
2014,Power Plants,1,3461.25,"C,D"
2014,Power Plants,4,0.75,"C,D"
2014,Power Plants,4,0.25,"C,D"
2013,Power Plants,1,3526.25,"C,D"
2012,Power Plants,1,2302.25,"C,D"
2012,Power Plants,4,0.25,"C,D"
2011,Power Plants,1,2905,"C,D"
2011,Power Plants,4,0.25,"C,D"
2011,Power Plants,4,0.25,"C,D"
2015,Power Plants,1,12.25,C
2015,Power Plants,1,12.5,C
2014,Power Plants,4,0.25,C
2014,Power Plants,1,53.25,C
2014,Power Plants,1,49.75,C
2012,Power Plants,4,2.5,C
2012,Power Plants,1,42.5,C
2012,Power Plants,1,30,C
2011,Power Plants,1,130,C
2011,Power Plants,1,225,C
2022,Power Plants,2,88.5,"C,D"
2022,Power Plants,2,0.5,"C,D"
2022,Power Plants,2,15.5,"C,D"
2022,Power Plants,2,17,"C,D"
2022,Power Plants,2,17.25,"C,D"
2022,Power Plants,2,0.25,"C,D"
2021,Power Plants,2,177.75,"C,D"
2021,Power Plants,2,0.25,"C,D"
2021,Power Plants,2,18,"C,D"
2021,Power Plants,2,18,"C,D"
2021,Power Plants,2,17.75,"C,D"
2020,Power Plants,2,236.5,"C,D"
2020,Power Plants,4,0.25,"C,D"
2020,Power Plants,2,0.5,"C,D"
2020,Power Plants,2,11,"C,D"
2020,Power Plants,2,11,"C,D"
2020,Power Plants,2,12.5,"C,D"
2020,Power Plants,2,0.5,"C,D"
2019,Power Plants,2,236.75,"C,D"
2019,Power Plants,4,0.25,"C,D"
2019,Power Plants,2,0.5,"C,D"
2019,Power Plants,2,9,"C,D"
2019,Power Plants,2,8.25,"C,D"
2019,Power Plants,2,10,"C,D"
2019,Power Plants,2,0.5,"C,D"
2018,Power Plants,2,177.5,"C,D"
2018,Power Plants,4,0.25,"C,D"
2018,Power Plants,2,0.75,"C,D"
2018,Power Plants,2,17.25,"C,D"
2018,Power Plants,2,17,"C,D"
2018,Power Plants,2,18,"C,D"
2018,Power Plants,2,0.75,"C,D"
2017,Power Plants,2,90.25,"C,D"
2017,Power Plants,4,0.25,"C,D"
2017,Power Plants,2,0.5,"C,D"
2017,Power Plants,2,14.25,"C,D"
2017,Power Plants,2,8.5,"C,D"
2017,Power Plants,2,14.25,"C,D"
2017,Power Plants,2,0.75,"C,D"
2016,Power Plants,2,90.25,"C,D"
2016,Power Plants,4,0.25,"C,D"
2016,Power Plants,2,0.5,"C,D"
2016,Power Plants,2,17.5,"C,D"
2016,Power Plants,2,21,"C,D"
2016,Power Plants,2,18.5,"C,D"
2016,Power Plants,2,0.75,"C,D"
2015,Power Plants,2,40.25,"C,D"
2015,Power Plants,4,0.25,"C,D"
2015,Power Plants,2,0.25,"C,D"
2015,Power Plants,2,6.5,"C,D"
2015,Power Plants,2,6.5,"C,D"
2015,Power Plants,2,6.5,"C,D"
2015,Power Plants,2,0.25,"C,D"
